met_idx,metabolite,true_length,keep_prob,keep_prob_exp0
0,CO2,2,0.5,0
1,GLC,7,0.5,0
2,G6P,7,1,1
3,F6P,7,0.5,1
4,FBP,7,1,1
5,DHAP,4,1,0
6,GAP,4,0.5,1
7,BPG,4,0.5,1
8,PGA,4,0.5,1
9,PEP,4,0.5,1
10,PYR,4,1,0
11,m6PG,7,0.5,0
12,Ru5P,6,0.5,1
13,R5P,6,1,1
14,X5P,6,0.5,1
15,E4P,5,0.5,1
16,S7P,8,1,1
17,SBP,8,0.5,1
18,AcCoA,3,0.5,0
19,CitICit,7,1,0
20,OGA,6,0.5,0
21,SuccCoA,5,0.5,0
22,Succ,5,1,0
23,Fum,5,0.5,0
24,MAL,5,1,0
25,OAA,5,0.5,0
26,Glx,3,0.5,0
27,PSer,4,0.5,1
28,Ser,4,1,0
29,Gly,3,1,0
30,FTHF,2,0.5,0
31,Cys,4,0.5,0
32,Ala,4,1,0
33,AKV,6,0.5,0
34,Val,6,1,0
35,IPPM,8,0.5,0
36,Leu,7,1,0
37,SKM,8,0.5,1
38,Chor,11,0.5,1
39,PHPYR,10,0.5,1
40,Phe,10,1,1
41,Tyr,10,1,1
42,PRPP,6,0.5,0
43,Trp,12,1,0
44,Glu,6,1,0
45,Pro,6,1,0
46,Gln,6,1,0
47,AcGlu,8,0.5,0
48,ORN,6,0.5,0
49,CITRL,7,0.5,0
50,Arg,7,1,0
51,Thr,5,1,0
52,Asp,5,1,0
53,HomoSer,5,0.5,0
54,Asn,5,1,0
55,Ile,7,1,0
56,Met,6,1,0
57,Lys,7,1,0
58,CBASP,6,0.5,0
59,OROT,6,0.5,0
60,UMP,10,1,0
61,dTTP,11,1,0
62,GAM6P,7,0.5,1
63,ACGAM1P,9,0.5,0
64,GLYC3P,4,0.5,1
65,ATP,11,1,0
66,His,7,0.5,0
67,AICAR,10,0.5,0
